tweet_id,favorites,retweets
846514051647705089,45677,12053
846505985330044928,14435,3192
846153765933735936,32437,9440
846139713627017216,31673,10316
846042936437604353,16381,3005
845812042753855489,30009,9094
845677943972139009,25778,4969
845397057150107648,7825,1877
845306882940190720,23930,5615
845098359547420673,0,7976
844979544864018432,13958,2677
844973813909606400,15501,3346
844580511645339650,16923,3274
844223788422217728,13991,2294
843981021012017153,15550,3058
843856843873095681,22013,4836
843604394117681152,17347,2879
843235543001513987,22115,6312
842846295480000512,15650,3776
842765311967449089,6946,1337
842535590457499648,18608,3663
842163532590374912,25167,6074
842115215311396866,14393,3179
841833993020538882,0,16015
841680585030541313,26398,8120
841439858740625411,13004,3858
841320156043304961,20371,5716
841314665196081154,16290,4905
841077006473256960,23550,5556
840761248237133825,0,1842
840728873075638272,0,16928
840698636975636481,182,2
840696689258311684,12654,1031
840632337062862849,9251,1842
840370681858686976,16969,4771
840268004936019968,19870,6011
839990271299457024,13824,2404
839549326359670784,28359,8165
839290600511926273,0,148
839239871831150596,28074,6873
838952994649550848,20252,4182
838921590096166913,11526,2174
838916489579200512,0,36
838831947270979586,0,11615
838561493054533637,11282,1392
838476387338051585,23293,5052
838201503651401729,0,10602
838150277551247360,1738,350
838085839343206401,146,1
838083903487373313,18196,3323
837820167694528512,35319,8270
837482249356513284,3964,463
837471256429613056,13215,2398
837366284874571778,21875,5583
837110210464448512,16582,2506
836989968035819520,13142,2418
836753516572119041,19925,4864
836677758902222849,13030,2338
836648853927522308,0,574
836397794269200385,0,29194
836380477523124226,15261,3136
836260088725786625,22008,4517
836001077879255040,19752,4516
835685285446955009,0,8584
835574547218894849,18425,3815
835536468978302976,0,1798
835309094223372289,0,22178
835297930240217089,17011,3166
835264098648616962,7993,1798
835246439529840640,2175,77
835172783151792128,27059,6063
835152434251116546,23255,3190
834931633769889797,11204,1742
834786237630337024,21979,5821
834574053763584002,14159,2677
834477809192075265,0,11281
834458053273591808,9969,1776
834209720923721728,21339,5043
834167344700198914,16352,3850
834089966724603904,10411,2250
834086379323871233,13533,2341
833863086058651648,13900,2530
833826103416520705,18672,3944
833732339549220864,0,227
833722901757046785,21499,3399
833479644947025920,15391,2178
833124694597443584,20957,5112
832998151111966721,13778,2345
832769181346996225,0,39
832757312314028032,17452,3830
832682457690300417,12324,3099
832645525019123713,3034,550
832636094638288896,16434,2941
832397543355072512,12375,2349
832369877331693569,17822,3371
832273440279240704,11741,2463
832215909146226688,0,6563
832215726631055365,0,9928
832088576586297345,68,2
832040443403784192,0,10270
832032802820481025,18520,4929
831939777352105988,24885,6489
831926988323639298,354,35
831911600680497154,28715,6915
831670449226514432,10853,1923
831650051525054464,7461,2059
831552930092285952,9326,2431
831322785565769729,9593,1626
831315979191906304,6781,1187
831309418084069378,12188,2593
831262627380748289,12372,2168
830956169170665475,8282,1582
830583320585068544,69516,17847
830173239259324417,0,6045
830097400375152640,10211,3177
829878982036299777,0,5346
829861396166877184,12719,2081
